drugbank_accession_number,generic_name,type,Sequence,groups,ECFP,MeSH,MyID,ecfp_cluster
DB11138,Lutein,Small Molecule,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,approved investigational nutraceutical,"[19, 31, 55, 171, 173, 231, 259, 262, 327, 395, 432, 507, 556, 590, 614, 618, 640, 679, 694, 719, 807, 835, 897, 918, 926, 953, 978, 1017, 1019, 1057, 1060, 1108, 1228, 1232, 1257, 1274, 1288, 1319, 1380, 1407, 1515, 1576, 1626, 1668, 1722, 1742, 1750, 1827, 1873, 1957]",D014975,31,C
DB00138,Cystine,Small Molecule,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,approved nutraceutical,"[1, 80, 116, 389, 650, 786, 807, 820, 1024, 1093, 1171, 1366, 1427, 1539, 1844, 1849, 1917]",D003553,32,E
DB00139,Succinic acid,Small Molecule,OC(=O)CCC(O)=O,approved nutraceutical,"[80, 389, 650, 807, 1256, 1287, 1564, 1737, 1917]",D019802,33,E
DB00140,Riboflavin,Small Molecule,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,approved investigational nutraceutical vet_approved,"[1, 45, 62, 79, 80, 222, 227, 260, 314, 323, 378, 482, 553, 650, 657, 750, 802, 807, 829, 831, 875, 888, 935, 1018, 1057, 1062, 1097, 1114, 1262, 1273, 1298, 1380, 1391, 1393, 1394, 1722, 1723, 1730, 1745, 1773, 1855, 1873, 1915, 1922, 1932, 1990]",D012256,34,C
DB09358,Riboflavin,Small Molecule,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,approved investigational nutraceutical vet_approved,"[1, 45, 62, 79, 80, 222, 227, 260, 314, 323, 378, 482, 553, 650, 657, 750, 802, 807, 829, 831, 875, 888, 935, 1018, 1057, 1062, 1097, 1114, 1262, 1273, 1298, 1380, 1391, 1393, 1394, 1722, 1723, 1730, 1745, 1773, 1855, 1873, 1915, 1922, 1932, 1990]",D012256,34,C
DB00142,Glutamic acid,Small Molecule,N[C@@H](CCC(O)=O)C(O)=O,approved nutraceutical,"[1, 80, 389, 650, 739, 786, 807, 900, 955, 1171, 1287, 1427, 1564, 1737, 1791, 1844, 1849, 1917]",D018698,35,E
DB00143,Glutathione,Small Molecule,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,approved investigational nutraceutical,"[1, 41, 80, 117, 173, 197, 229, 321, 339, 389, 390, 573, 600, 650, 736, 739, 786, 807, 865, 875, 895, 900, 1152, 1171, 1307, 1427, 1440, 1459, 1564, 1575, 1737, 1791, 1844, 1849, 1917]",D005978,36,E
DB00144,Phosphatidyl serine,Small Molecule,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC,investigational nutraceutical,"[1, 69, 80, 82, 118, 125, 147, 192, 294, 389, 486, 591, 650, 677, 695, 729, 786, 794, 807, 811, 874, 980, 991, 1057, 1099, 1143, 1171, 1218, 1267, 1386, 1399, 1427, 1441, 1444, 1558, 1564, 1619, 1716, 1838, 1844, 1849, 1911, 1917]",D010718,37,E
DB00145,Glycine,Small Molecule,NCC(O)=O,approved nutraceutical vet_approved,"[27, 80, 389, 650, 807, 966, 981, 1171, 1737, 1917]",D005998,38,E
DB00146,Calcifediol,Small Molecule,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,approved nutraceutical,"[1, 8, 35, 80, 114, 137, 231, 241, 243, 283, 327, 392, 395, 444, 478, 590, 678, 694, 739, 753, 807, 850, 855, 890, 921, 926, 1019, 1028, 1057, 1060, 1122, 1127, 1157, 1162, 1230, 1257, 1274, 1308, 1325, 1360, 1366, 1368, 1380, 1477, 1485, 1514, 1656, 1660, 1693, 1738, 1808, 1835, 1908, 1911, 1950, 2035]",D002112,39,D
DB00148,Creatine,Small Molecule,CN(CC(O)=O)C(N)=N,approved investigational nutraceutical,"[80, 140, 303, 334, 389, 605, 623, 650, 807, 881, 1057, 1104, 1163, 1171, 1190, 1244, 1474, 1737, 1917, 1950]",D003401,40,E
DB00149,Leucine,Small Molecule,CC(C)C[C@H](N)C(O)=O,investigational nutraceutical,"[1, 80, 283, 389, 425, 650, 680, 759, 776, 786, 807, 1057, 1171, 1427, 1844, 1847, 1849, 1917]",D007930,41,E
DB00150,Tryptophan,Small Molecule,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,approved nutraceutical withdrawn,"[1, 79, 80, 119, 328, 364, 389, 650, 786, 806, 807, 1088, 1114, 1171, 1199, 1221, 1349, 1357, 1380, 1427, 1573, 1607, 1685, 1750, 1783, 1844, 1849, 1873, 1879, 1917, 1937, 1970]",D014364,42,A
DB00151,Cysteine,Small Molecule,N[C@@H](CS)C(O)=O,approved nutraceutical,"[1, 80, 229, 321, 389, 650, 786, 807, 1072, 1171, 1427, 1459, 1844, 1849, 1917, 1926]",D003545,43,E
DB04443,Cysteine,Small Molecule,N[C@@H](CS)C(O)=O,approved nutraceutical,"[1, 80, 229, 321, 389, 650, 786, 807, 1072, 1171, 1427, 1459, 1844, 1849, 1917, 1926]",D003545,43,E
DB09485,Cysteine,Small Molecule,N[C@@H](CS)C(O)=O,approved nutraceutical,"[1, 80, 229, 321, 389, 650, 786, 807, 1072, 1171, 1427, 1459, 1844, 1849, 1917, 1926]",D003545,43,E
DB00152,Thiamine,Small Molecule,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,approved investigational nutraceutical vet_approved,"[26, 79, 80, 179, 213, 222, 284, 342, 378, 457, 463, 473, 675, 708, 751, 762, 807, 840, 1027, 1057, 1068, 1126, 1171, 1243, 1328, 1349, 1380, 1452, 1457, 1459, 1535, 1567, 1722, 1727, 1772, 1855, 1873, 1891, 1949, 2029]",D013831,44,A
DB00153,Ergocalciferol,Small Molecule,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,approved nutraceutical,"[1, 8, 35, 137, 231, 241, 243, 283, 322, 327, 395, 444, 470, 478, 590, 678, 687, 694, 807, 850, 890, 921, 926, 978, 1019, 1028, 1049, 1057, 1060, 1088, 1122, 1157, 1162, 1230, 1240, 1257, 1274, 1325, 1360, 1366, 1368, 1380, 1477, 1485, 1624, 1656, 1738, 1773, 1835, 1950, 2017, 2035]",D004872,45,D
DB00154,Dihomo-gamma-linolenic acid,Small Molecule,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,investigational nutraceutical,"[80, 294, 389, 401, 591, 650, 694, 775, 794, 807, 1057, 1110, 1143, 1195, 1267, 1287, 1356, 1440, 1444, 1564, 1670, 1737, 1755, 1873, 1911, 1917]",D015126,46,E
DB00155,Citrulline,Small Molecule,N[C@@H](CCCNC(N)=O)C(O)=O,investigational nutraceutical,"[1, 80, 140, 197, 389, 412, 650, 667, 708, 739, 786, 807, 1048, 1152, 1171, 1427, 1520, 1526, 1791, 1844, 1849, 1876, 1911, 1917]",D002956,47,E
DB00156,Threonine,Small Molecule,C[C@@H](O)[C@H](N)C(O)=O,approved nutraceutical,"[1, 227, 283, 378, 389, 650, 727, 786, 807, 1057, 1139, 1171, 1693, 1844, 1882, 1917]",D013912,48,E
DB00157,NADH,Small Molecule,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,approved nutraceutical,"[52, 75, 80, 140, 185, 192, 194, 201, 209, 237, 264, 269, 309, 378, 423, 454, 486, 489, 499, 577, 610, 650, 656, 695, 807, 810, 863, 926, 932, 935, 962, 980, 1019, 1020, 1033, 1095, 1099, 1128, 1136, 1171, 1176, 1253, 1257, 1380, 1452, 1454, 1457, 1459, 1487, 1543, 1572, 1696, 1714, 1716, 1724, 1732, 1810, 1838, 1840, 1844, 1873, 1878, 1917, 1921, 1991, 1994, 1996]",D009243,49,B
DB01907,NADH,Small Molecule,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,approved nutraceutical,"[52, 75, 80, 140, 185, 192, 194, 201, 209, 237, 264, 269, 309, 378, 423, 454, 486, 489, 499, 577, 610, 650, 656, 695, 807, 810, 863, 926, 932, 935, 962, 980, 1019, 1020, 1033, 1095, 1099, 1128, 1136, 1171, 1176, 1253, 1257, 1380, 1452, 1454, 1457, 1459, 1487, 1543, 1572, 1696, 1714, 1716, 1724, 1732, 1810, 1838, 1840, 1844, 1873, 1878, 1917, 1921, 1991, 1994, 1996]",D009243,49,B
DB03527,NADH,Small Molecule,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,approved nutraceutical,"[52, 75, 80, 140, 185, 192, 194, 201, 209, 237, 264, 269, 309, 378, 423, 454, 486, 489, 499, 577, 610, 650, 656, 695, 807, 810, 863, 926, 932, 935, 962, 980, 1019, 1020, 1033, 1095, 1099, 1128, 1136, 1171, 1176, 1253, 1257, 1380, 1452, 1454, 1457, 1459, 1487, 1543, 1572, 1696, 1714, 1716, 1724, 1732, 1810, 1838, 1840, 1844, 1873, 1878, 1917, 1921, 1991, 1994, 1996]",D009243,49,B
DB00158,Folic acid,Small Molecule,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,approved nutraceutical vet_approved,"[1, 62, 80, 87, 117, 134, 187, 191, 255, 292, 314, 321, 334, 343, 378, 379, 389, 486, 503, 650, 697, 724, 736, 739, 807, 843, 850, 955, 1102, 1114, 1152, 1171, 1273, 1287, 1380, 1385, 1416, 1435, 1452, 1457, 1535, 1564, 1624, 1665, 1681, 1697, 1724, 1737, 1745, 1750, 1844, 1855, 1873, 1917, 1959, 2035]",D005492,50,A
DB00159,Icosapent,Small Molecule,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,approved nutraceutical,"[80, 294, 389, 401, 637, 650, 694, 749, 775, 807, 1057, 1110, 1134, 1195, 1287, 1356, 1454, 1564, 1670, 1737, 1755, 1873, 1911, 1917]",D015118,51,E
DB00161,Valine,Small Molecule,CC(C)[C@H](N)C(O)=O,approved nutraceutical,"[1, 283, 389, 650, 727, 786, 807, 1022, 1031, 1057, 1139, 1171, 1773, 1844, 1917]",D014633,52,E
DB00162,Vitamin A,Small Molecule,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,approved nutraceutical vet_approved,"[31, 44, 55, 80, 173, 222, 259, 432, 444, 479, 618, 694, 807, 835, 926, 953, 1017, 1028, 1057, 1060, 1135, 1162, 1274, 1288, 1319, 1337, 1349, 1380, 1524, 1576, 1599, 1626, 1666, 1722, 1738, 1742, 1827, 1956, 1957]",D014801,53,C
DB00163,Vitamin E,Small Molecule,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,approved nutraceutical vet_approved,"[1, 80, 146, 170, 202, 252, 262, 283, 361, 406, 543, 599, 656, 672, 739, 740, 741, 755, 795, 807, 856, 926, 1057, 1060, 1142, 1162, 1260, 1274, 1282, 1294, 1380, 1513, 1602, 1648, 1722, 1725, 1738, 1763, 1788, 1847, 1860, 1911]",D014810,54,C
DB00165,Pyridoxine,Small Molecule,CC1=C(O)C(CO)=C(CO)C=N1,approved investigational nutraceutical vet_approved,"[80, 92, 156, 202, 222, 246, 284, 378, 409, 705, 722, 807, 837, 1057, 1074, 1349, 1380, 1452, 1535, 1573, 1602, 1722, 1873, 2034]",D011736,55,A
DB00166,Lipoic acid,Small Molecule,OC(=O)CCCC[C@@H]1CCSS1,approved investigational nutraceutical,"[80, 226, 334, 389, 650, 675, 710, 789, 807, 832, 894, 926, 1019, 1110, 1147, 1264, 1267, 1287, 1290, 1325, 1440, 1502, 1564, 1737, 1911, 1917, 2020]",D008063,56,C
DB00167,Isoleucine,Small Molecule,CC[C@H](C)[C@H](N)C(O)=O,investigational nutraceutical,"[1, 80, 280, 283, 294, 389, 650, 727, 784, 786, 807, 1057, 1139, 1171, 1544, 1719, 1785, 1844, 1917]",D007532,57,E
DB00168,Aspartame,Small Molecule,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,investigational nutraceutical,"[1, 54, 70, 79, 80, 117, 147, 389, 573, 650, 695, 736, 786, 807, 841, 857, 890, 1057, 1066, 1088, 1141, 1152, 1162, 1171, 1199, 1290, 1380, 1458, 1547, 1737, 1750, 1754, 1849, 1873, 1917, 2006, 2016]",D001218,58,A
DB00169,Cholecalciferol,Small Molecule,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,approved nutraceutical,"[1, 8, 35, 80, 137, 146, 231, 241, 243, 283, 327, 395, 406, 444, 478, 590, 678, 694, 739, 753, 807, 850, 890, 921, 926, 1019, 1028, 1057, 1060, 1122, 1157, 1162, 1230, 1257, 1274, 1325, 1360, 1366, 1368, 1380, 1477, 1485, 1514, 1656, 1693, 1738, 1808, 1835, 1847, 1860, 1911, 1950, 2035]",D002762,59,D
DB00170,Menadione,Small Molecule,CC1=CC(=O)C2=CC=CC=C2C1=O,approved nutraceutical,"[1, 84, 314, 352, 650, 707, 747, 859, 939, 984, 1057, 1088, 1199, 1214, 1380, 1409, 1476, 1722, 1750, 1768, 1873]",D024483,60,C
DB00171,ATP,Small Molecule,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,investigational nutraceutical,"[52, 75, 80, 192, 194, 209, 378, 386, 454, 486, 489, 577, 610, 650, 656, 695, 807, 810, 863, 932, 935, 962, 980, 995, 1019, 1020, 1033, 1095, 1099, 1136, 1171, 1176, 1253, 1257, 1380, 1452, 1457, 1459, 1487, 1543, 1572, 1696, 1716, 1724, 1732, 1810, 1819, 1838, 1844, 1873, 1878, 1921]",D000255,61,B
DB00173,Adenine,Small Molecule,NC1=C2NC=NC2=NC=N1,approved nutraceutical,"[378, 379, 489, 600, 713, 806, 834, 862, 988, 1114, 1171, 1184, 1380, 1452, 1457, 1459, 1530, 1572, 1587, 1792, 1810, 1873]",D000225,62,A
DB00174,Asparagine,Small Molecule,N[C@@H](CC(N)=O)C(O)=O,approved investigational nutraceutical,"[1, 80, 140, 376, 389, 650, 776, 786, 807, 1171, 1290, 1427, 1844, 1849, 1898, 1917, 1946]",D001216,63,E
DB00175,Pravastatin,Small Molecule,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,approved,"[1, 80, 87, 147, 169, 227, 283, 292, 294, 300, 389, 395, 509, 547, 610, 650, 653, 677, 680, 695, 697, 722, 739, 766, 798, 807, 832, 918, 926, 973, 987, 1004, 1019, 1057, 1058, 1083, 1126, 1141, 1231, 1243, 1257, 1290, 1292, 1306, 1309, 1380, 1383, 1457, 1544, 1575, 1737, 1760, 1873, 1916, 1917, 1999, 2038, 2039]",D017035,64,C
DB00176,Fluvoxamine,Small Molecule,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,approved investigational,"[13, 80, 114, 383, 404, 427, 431, 486, 695, 725, 734, 751, 772, 807, 809, 841, 981, 1005, 1057, 1125, 1171, 1241, 1249, 1260, 1267, 1380, 1385, 1391, 1417, 1453, 1564, 1632, 1665, 1697, 1738, 1750, 1840, 1873, 1911, 1928]",D016666,65,A
DB00177,Valsartan,Small Molecule,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,approved investigational,"[1, 80, 222, 283, 294, 310, 336, 352, 378, 389, 507, 591, 614, 619, 650, 794, 807, 881, 896, 897, 981, 984, 1057, 1078, 1088, 1104, 1114, 1124, 1147, 1160, 1164, 1199, 1238, 1281, 1380, 1385, 1436, 1438, 1474, 1564, 1585, 1691, 1750, 1754, 1773, 1844, 1861, 1871, 1873, 1897, 1911, 1917, 1946, 1950, 2004]",D000068756,66,A
DB00178,Ramipril,Small Molecule,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,approved,"[1, 80, 108, 147, 153, 255, 276, 283, 294, 389, 500, 531, 585, 650, 695, 736, 739, 807, 808, 926, 935, 979, 989, 1019, 1028, 1045, 1057, 1063, 1066, 1075, 1088, 1121, 1152, 1163, 1169, 1199, 1238, 1243, 1292, 1325, 1380, 1394, 1431, 1452, 1500, 1583, 1597, 1689, 1722, 1750, 1754, 1818, 1873, 1917]",D017257,67,C
DB00179,Masoprocol,Small Molecule,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,approved investigational,"[1, 79, 80, 193, 283, 310, 315, 589, 807, 875, 1057, 1380, 1475, 1602, 1603, 1607, 1750, 1754, 1773, 1785, 1873, 1990]",D009637,68,A
DB05900,Masoprocol,Small Molecule,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,approved investigational,"[1, 79, 80, 193, 283, 310, 315, 589, 807, 875, 1057, 1380, 1475, 1602, 1603, 1607, 1750, 1754, 1773, 1785, 1873, 1990]",D009637,68,A
DB00180,Flunisolide,Small Molecule,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,approved investigational,"[17, 32, 80, 84, 222, 240, 314, 403, 476, 519, 547, 622, 650, 656, 664, 679, 703, 706, 753, 781, 787, 807, 849, 926, 937, 967, 1009, 1019, 1057, 1060, 1070, 1120, 1186, 1223, 1257, 1274, 1285, 1292, 1380, 1436, 1489, 1612, 1664, 1679, 1700, 1730, 1794, 1810, 1831, 1873, 1917, 1928, 1929, 1934, 1938, 1984, 1997, 2015, 2021]",C007734,69,D
DB00181,Baclofen,Small Molecule,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,approved,"[1, 80, 158, 216, 368, 389, 561, 650, 682, 807, 816, 981, 1070, 1128, 1141, 1171, 1290, 1365, 1380, 1474, 1683, 1737, 1750, 1853, 1873, 1909, 1917]",D001418,70,A
DB00182,Amphetamine,Small Molecule,CC(N)CC1=CC=CC=C1,approved illicit investigational,"[1, 79, 80, 283, 389, 567, 786, 857, 874, 1039, 1057, 1066, 1088, 1171, 1199, 1380, 1750, 1754, 1873]",D000661,71,A
DB00183,Pentagastrin,Small Molecule,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,approved,"[1, 11, 41, 79, 80, 114, 116, 117, 119, 140, 197, 231, 328, 363, 364, 389, 392, 394, 425, 491, 573, 648, 650, 667, 695, 736, 739, 806, 807, 857, 875, 895, 1024, 1040, 1057, 1066, 1088, 1110, 1114, 1141, 1152, 1171, 1182, 1199, 1212, 1280, 1287, 1290, 1349, 1357, 1380, 1558, 1564, 1573, 1574, 1607, 1616, 1618, 1642, 1691, 1737, 1750, 1754, 1758, 1783, 1859, 1873, 1879, 1917, 1937, 1942, 1970, 2006, 2016, 2020]",D010418,72,C
DB00184,Nicotine,Small Molecule,CN1CCC[C@H]1C1=CN=CC=C1,approved,"[56, 231, 378, 437, 446, 486, 562, 749, 926, 935, 1019, 1028, 1043, 1057, 1088, 1145, 1192, 1279, 1312, 1325, 1380, 1392, 1480, 1535, 1586, 1603, 1663, 1750, 1866, 1873]",D009538,73,C
DB09463,Nicotine,Small Molecule,CN1CCC[C@H]1C1=CN=CC=C1,approved,"[56, 231, 378, 437, 446, 486, 562, 749, 926, 935, 1019, 1028, 1043, 1057, 1088, 1145, 1192, 1279, 1312, 1325, 1380, 1392, 1480, 1535, 1586, 1603, 1663, 1750, 1866, 1873]",D009538,73,C
DB11303,Nicotine,Small Molecule,CN1CCC[C@H]1C1=CN=CC=C1,approved,"[56, 231, 378, 437, 446, 486, 562, 749, 926, 935, 1019, 1028, 1043, 1057, 1088, 1145, 1192, 1279, 1312, 1325, 1380, 1392, 1480, 1535, 1586, 1603, 1663, 1750, 1866, 1873]",D009538,73,C
DB00185,Cevimeline,Small Molecule,CC1O[C@@]2(CS1)CN1CCC2CC1,approved,"[98, 453, 528, 602, 656, 675, 852, 893, 926, 935, 998, 1007, 1019, 1057, 1060, 1070, 1291, 1295, 1309, 1325, 1473, 1480, 1486, 1573, 1755, 1877, 1899]",C059240,74,C
DB00186,Lorazepam,Small Molecule,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,approved,"[7, 74, 106, 117, 142, 165, 216, 237, 314, 352, 366, 378, 561, 650, 724, 807, 816, 843, 875, 941, 974, 984, 1019, 1032, 1034, 1060, 1088, 1114, 1199, 1223, 1257, 1356, 1380, 1399, 1536, 1683, 1750, 1873, 1982]",D008140,75,A
DB00187,Esmolol,Small Molecule,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,approved,"[1, 14, 80, 102, 118, 126, 169, 195, 227, 283, 310, 322, 430, 606, 650, 658, 695, 718, 782, 807, 841, 1028, 1045, 1057, 1090, 1152, 1243, 1380, 1386, 1445, 1452, 1564, 1574, 1750, 1754, 1873, 1917, 2030, 2038]",C036604,76,A
DB00188,Bortezomib,Small Molecule,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,approved investigational,"[1, 79, 80, 117, 175, 227, 271, 283, 318, 378, 389, 486, 552, 573, 650, 680, 736, 759, 807, 855, 857, 948, 1057, 1066, 1071, 1074, 1088, 1110, 1125, 1152, 1199, 1282, 1342, 1380, 1435, 1452, 1535, 1565, 1586, 1603, 1616, 1750, 1754, 1792, 1847, 1866, 1873, 1917, 1921, 2006]",D000069286,77,A
DB07475,Bortezomib,Small Molecule,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,approved investigational,"[1, 79, 80, 117, 175, 227, 271, 283, 318, 378, 389, 486, 552, 573, 650, 680, 736, 759, 807, 855, 857, 948, 1057, 1066, 1071, 1074, 1088, 1110, 1125, 1152, 1199, 1282, 1342, 1380, 1435, 1452, 1535, 1565, 1586, 1603, 1616, 1750, 1754, 1792, 1847, 1866, 1873, 1917, 1921, 2006]",D000069286,77,A
DB00189,Ethchlorvynol,Small Molecule,CCC(O)(\C=C\Cl)C#C,approved illicit withdrawn,"[80, 114, 294, 295, 674, 694, 805, 807, 883, 915, 967, 974, 994, 1057, 1060, 1535, 1542, 1592, 1645, 1683, 1854, 1908]",D004984,78,E
DB00190,Carbidopa,Small Molecule,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,approved,"[80, 114, 193, 310, 315, 341, 389, 392, 589, 650, 682, 794, 807, 830, 875, 888, 972, 1057, 1152, 1171, 1380, 1441, 1475, 1602, 1607, 1701, 1750, 1754, 1777, 1873, 1917, 1977]",D002230,79,A
DB00191,Phentermine,Small Molecule,CC(C)(N)CC1=CC=CC=C1,approved illicit,"[80, 114, 389, 392, 672, 675, 888, 1057, 1066, 1088, 1171, 1199, 1380, 1582, 1671, 1694, 1750, 1754, 1873]",D010645,80,A
DB00192,Indecainide,Small Molecule,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,approved,"[1, 80, 140, 261, 283, 307, 342, 352, 650, 667, 782, 795, 807, 853, 892, 984, 985, 1028, 1050, 1057, 1060, 1088, 1152, 1171, 1199, 1380, 1382, 1460, 1679, 1750, 1811, 1873, 1911, 1917, 1980, 2030]",C042398,81,A
DB00193,Tramadol,Small Molecule,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,approved investigational,"[80, 122, 139, 150, 182, 303, 322, 556, 562, 652, 695, 772, 781, 807, 808, 834, 841, 875, 881, 890, 926, 948, 1019, 1028, 1039, 1057, 1060, 1088, 1106, 1154, 1162, 1163, 1325, 1380, 1536, 1628, 1638, 1750, 1873, 1898, 1972]",D014147,82,C
DB00194,Vidarabine,Small Molecule,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,approved investigational,"[75, 80, 194, 209, 222, 378, 454, 489, 577, 610, 656, 807, 932, 935, 962, 1019, 1033, 1095, 1099, 1171, 1176, 1234, 1253, 1257, 1380, 1452, 1457, 1459, 1487, 1516, 1543, 1572, 1696, 1724, 1764, 1810, 1844, 1873, 1921]",D014740,83,B
DB00195,Betaxolol,Small Molecule,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,approved investigational,"[1, 13, 29, 80, 102, 118, 169, 227, 283, 310, 322, 430, 606, 658, 695, 718, 782, 807, 859, 926, 1019, 1028, 1045, 1057, 1136, 1152, 1243, 1325, 1380, 1445, 1452, 1562, 1574, 1605, 1646, 1671, 1750, 1754, 1873, 1992, 2023, 2030, 2038]",D015784,84,A
DB00196,Fluconazole,Small Molecule,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,approved investigational,"[43, 80, 114, 259, 378, 419, 489, 548, 623, 651, 699, 747, 754, 807, 875, 932, 935, 949, 1024, 1138, 1380, 1410, 1448, 1487, 1603, 1670, 1701, 1716, 1750, 1811, 1818, 1840, 1873, 1908, 1928]",D015725,85,A
DB00197,Troglitazone,Small Molecule,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,approved investigational withdrawn,"[80, 102, 170, 202, 252, 262, 310, 314, 322, 358, 361, 424, 458, 543, 650, 656, 672, 675, 695, 718, 807, 856, 862, 926, 987, 1019, 1034, 1057, 1060, 1065, 1114, 1162, 1260, 1274, 1276, 1282, 1294, 1380, 1384, 1408, 1443, 1452, 1456, 1513, 1602, 1644, 1648, 1722, 1725, 1738, 1750, 1754, 1788, 1840, 1873, 1920]",D000077288,86,A
DB00198,Oseltamivir,Small Molecule,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,approved,"[1, 80, 125, 145, 147, 231, 235, 245, 269, 294, 339, 387, 650, 654, 695, 759, 786, 807, 918, 926, 935, 1017, 1019, 1038, 1057, 1152, 1171, 1221, 1238, 1250, 1314, 1380, 1458, 1505, 1544, 1614, 1668, 1722, 1731, 1780, 1832, 1873, 1917]",D053139,87,C
